,SYMBOL,KEY,CODE
0,ADANIPORTS,3861249,MPS
1,ASIANPAINT,60417,AP31
2,AUBANK,5436929,ASF02
3,AXISBANK,1510401,AB16
4,BAJAJ-AUTO,4267265,BA10
5,BAJAJFINSV,4268801,BF04
6,BAJFINANCE,81153,BAF
7,BANDHANBNK,579329,BB09
8,BANKBARODA,1195009,BOB
9,BANKINDIA,1214721,BOI
10,BHARTIARTL,2714625,BA08
11,BPCL,134657,BPC
12,BRITANNIA,140033,BI
13,CANBK,2763265,CB06
14,CIPLA,177665,C
15,COALINDIA,5215745,CI11
16,CSBBANK,3831297,CB05
17,CUB,1459457,CUB
18,DCBBANK,3513601,DCB01
19,DIVISLAB,2800641,DL03
20,DRREDDY,225537,DRL
21,EICHERMOT,232961,EM
22,FEDERALBNK,261889,FB
23,GRASIM,315393,GI01
24,HCLTECH,1850625,HCL02
25,HDFC,340481,HDF
26,HDFCBANK,341249,HDF01
27,HDFCLIFE,119553,HSL01
28,HEROMOTOCO,345089,HHM
29,HINDALCO,348929,HI
30,HINDUNILVR,356865,HU
31,ICICIBANK,1270529,ICI02
32,IDFCFIRSTB,2863105,IDF01
33,INDIANB,3663105,IB04
34,INDUSINDBK,1346049,IIB
35,INFY,408065,IT
36,IOC,415745,IOC
37,ITC,424961,ITC
38,JSWSTEEL,3001089,JSW01
39,KOTAKBANK,492033,KMB
40,LT,2939649,LT
41,M&M,519937,MM
42,MARUTI,2815745,MS24
43,NESTLEIND,4598529,NI
44,NTPC,2977281,NTP
45,ONGC,633601,ONG
46,PNB,2730497,PNB05
47,POWERGRID,3834113,PGC
48,RBLBANK,4708097,RB03
49,RELIANCE,738561,RI
50,SBILIFE,5582849,SLI03
51,SBIN,779521,SBI
52,SHREECEM,794369,SC12
53,SUNPHARMA,857857,SPI
54,TATACONSUM,878593,TT
55,TATAMOTORS,884737,TM03
56,TATASTEEL,895745,TIS
57,TCS,2953217,TCS
58,TECHM,3465729,TM4
59,TITAN,897537,TI01
60,ULTRACEMCO,2952193,UTC01
61,UPL,2889473,UP04
62,WIPRO,969473,W
